Video_name;Trial_time ;Mouseline;Rat_ID;Genotype;Genotype_class;SFARI_gene;
CDKL5_OLR_Probe_CD21;Test;CDKL5;CD21;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD23;Test;CDKL5;CD23;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD24;Test;CDKL5;CD24;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD25;Test;CDKL5;CD25;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD26;Test;CDKL5;CD26;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD27;Test;CDKL5;CD27;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_Probe_CD5;Test;CDKL5;CD5;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS1_CKL210;Sample1;CDKL5;CKL210;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS1_CKL212;Sample1;CDKL5;CKL212;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS1_CKL215;Sample1;CDKL5;CKL215;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS1_CKL216;Sample1;CDKL5;CKL216;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS2_CKL210;Sample2;CDKL5;CKL210;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS2_CKL212;Sample2;CDKL5;CKL212;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS2_CKL215;Sample2;CDKL5;CKL215;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS2_CKL216;Sample2;CDKL5;CKL216;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS3_CKL210;Sample3;CDKL5;CKL210;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS3_CKL212;Sample3;CDKL5;CKL212;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS3_CKL215;Sample3;CDKL5;CKL215;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS3_CKL216;Sample3;CDKL5;CKL216;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD21;Sample1;CDKL5;CD21;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD23;Sample1;CDKL5;CD23;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD24;Sample1;CDKL5;CD24;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD25;Sample1;CDKL5;CD25;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD26;Sample1;CDKL5;CD26;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD27;Sample1;CDKL5;CD27;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D1_CD5;Sample1;CDKL5;CD5;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD21;Sample2;CDKL5;CD21;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD23;Sample2;CDKL5;CD23;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD24;Sample2;CDKL5;CD24;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD25;Sample2;CDKL5;CD25;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD26;Sample2;CDKL5;CD26;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD27;Sample2;CDKL5;CD27;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D2_CD5;Sample2;CDKL5;CD5;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD21;Sample3;CDKL5;CD21;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD23;Sample3;CDKL5;CD23;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD24;Sample3;CDKL5;CD24;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD25;Sample3;CDKL5;CD25;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD26;Sample3;CDKL5;CD26;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD27;Sample3;CDKL5;CD27;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL5_OLR_SS_D3_CD5;Sample3;CDKL5;CD5;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_Prob_CKL210;Test;CDKL5;CKL210;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_Prob_CKL212;Test;CDKL5;CKL212;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_Prob_CKL215;Test;CDKL5;CKL215;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_Prob_CKL216;Test;CDKL5;CKL216;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD1;Sample1;CDKL5;CD1;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD10;Sample1;CDKL5;CD10;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD2;Sample1;CDKL5;CD2;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD3;Sample1;CDKL5;CD3;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD6;Sample1;CDKL5;CD6;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD7;Sample1;CDKL5;CD7;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD8;Sample1;CDKL5;CD8;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_OLR_SS1_CD9;Sample1;CDKL5;CD9;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD1;Test;CDKL5;CD1;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD10;Test;CDKL5;CD10;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD2;Test;CDKL5;CD2;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD3;Test;CDKL5;CD3;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD6;Test;CDKL5;CD6;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD7;Test;CDKL5;CD7;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD8;Test;CDKL5;CD8;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_P_CD9;Test;CDKL5;CD9;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD1;Sample2;CDKL5;CD1;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD10;Sample2;CDKL5;CD10;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD2;Sample2;CDKL5;CD2;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD3;Sample2;CDKL5;CD3;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD6;Sample2;CDKL5;CD6;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD7;Sample2;CDKL5;CD7;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD8;Sample2;CDKL5;CD8;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS2_CD9;Sample2;CDKL5;CD9;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD1;Sample3;CDKL5;CD1;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD10;Sample3;CDKL5;CD10;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD2;Sample3;CDKL5;CD2;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD3;Sample3;CDKL5;CD3;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD6;Sample3;CDKL5;CD6;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD7;Sample3;CDKL5;CD7;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD8;Sample3;CDKL5;CD8;CDKL5_WT;WT;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
CDKL_SS3_CD9;Sample3;CDKL5;CD9;CDKL5_KO;TG;CDKL5;https://gene.sfari.org/database/human-gene/CDKL5
DYRK_OLR_LTM_SS1_DR144;Sample1;DYRK1;DR144;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR145;Sample1;DYRK1;DR145;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR146;Sample1;DYRK1;DR146;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR147;Sample1;DYRK1;DR147;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR148;Sample1;DYRK1;DR148;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR149;Sample1;DYRK1;DR149;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR150;Sample1;DYRK1;DR150;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR151;Sample1;DYRK1;DR151;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR174;Sample1;DYRK1;DR174;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR175;Sample1;DYRK1;DR175;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR179;Sample1;DYRK1;DR179;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR180;Sample1;DYRK1;DR180;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR207;Sample1;DYRK1;DR207;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR208;Sample1;DYRK1;DR208;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR209;Sample1;DYRK1;DR209;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR210;Sample1;DYRK1;DR210;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR211;Sample1;DYRK1;DR211;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR212;Sample1;DYRK1;DR212;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR214;Sample1;DYRK1;DR214;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS1_DR215;Sample1;DYRK1;DR215;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR144;Sample2;DYRK1;DR144;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR145;Sample2;DYRK1;DR145;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR146;Sample2;DYRK1;DR146;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR147;Sample2;DYRK1;DR147;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR148;Sample2;DYRK1;DR148;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR149;Sample2;DYRK1;DR149;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR150;Sample2;DYRK1;DR150;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR151;Sample2;DYRK1;DR151;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR174;Sample2;DYRK1;DR174;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR175;Sample2;DYRK1;DR175;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR179;Sample2;DYRK1;DR179;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR180;Sample2;DYRK1;DR180;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR207;Sample2;DYRK1;DR207;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR208;Sample2;DYRK1;DR208;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR209;Sample2;DYRK1;DR209;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR210;Sample2;DYRK1;DR210;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR211;Sample2;DYRK1;DR211;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR212;Sample2;DYRK1;DR212;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR214;Sample2;DYRK1;DR214;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS2_DR215;Sample2;DYRK1;DR215;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR144;Sample3;DYRK1;DR144;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR145;Sample3;DYRK1;DR145;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR146;Sample3;DYRK1;DR146;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR147;Sample3;DYRK1;DR147;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR148;Sample3;DYRK1;DR148;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR149;Sample3;DYRK1;DR149;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR150;Sample3;DYRK1;DR150;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR151;Sample3;DYRK1;DR151;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR174;Sample3;DYRK1;DR174;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR175;Sample3;DYRK1;DR175;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR179;Sample3;DYRK1;DR179;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR180;Sample3;DYRK1;DR180;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR207;Sample3;DYRK1;DR207;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR208;Sample3;DYRK1;DR208;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR209;Sample3;DYRK1;DR209;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR210;Sample3;DYRK1;DR210;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR211;Sample3;DYRK1;DR211;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR212;Sample3;DYRK1;DR212;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR214;Sample3;DYRK1;DR214;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_SS3_DR215;Sample3;DYRK1;DR215;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR144;Test;DYRK1;DR144;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR145;Test;DYRK1;DR145;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR146;Test;DYRK1;DR146;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR147;Test;DYRK1;DR147;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR148;Test;DYRK1;DR148;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR149;Test;DYRK1;DR149;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR150;Test;DYRK1;DR150;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR151;Test;DYRK1;DR151;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR174;Test;DYRK1;DR174;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR175;Test;DYRK1;DR175;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR179;Test;DYRK1;DR179;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR180;Test;DYRK1;DR180;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR207;Test;DYRK1;DR207;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR208;Test;DYRK1;DR208;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR209;Test;DYRK1;DR209;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR210;Test;DYRK1;DR210;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR211;Test;DYRK1;DR211;DYRK1_WT;WT;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
DYRK_OLR_LTM_T_DR212;Test;DYRK1;DR212;DYRK1_Het;TG;DYRK1A;https://gene.sfari.org/database/human-gene/DYRK1A
